Sample_ID,Total_Weight,Cob_Weight,Moisture,Test_Weight,Plants_Harvested,notes
YC22:1017,665,125,15.8,58.3,10,
YC22:1038,450,75,12.9,57.9,10,
YC22:1042,1175,160,10.9,59.7,,
YC22:1041,1270,210,11.5,59.8,,
YC22:1029,620,125,14,59.6,,
YC22:1039,820,150,12.4,56.2,,
YC22:1023,750,,13.7,56.3,,
YC22:1040,1350,200,13.1,56.6,,
YC22:1010,690,460,11.4,61.3,,
YC22:1004,1065,500,18.8,50.4,,
YC22:1018,545,365,-,-,,
YC22:1028,1105,180,14,62.2,,
YC22:1012,1160,170,14.5,56,,
YC22:1020,1095,200,10,67.7,,
YC22:1026,1000,115,12.1,55.2,,
YC22:1007,680,220,17.5,58.2,,
YC22:1011,1455,220,11.9,54.2,,
YC22:1013,1135,195,11.7,59,,
YC22:1034,1145,165,13.4,55.3,,
YC22:1025,980,205,12.3,61.4,,
YC22:1031,305,60,-,-,,
YC22:1009,650,110,13.6,57.8,,
YC22:1008,610,160,14.9,52.3,,
YC22:1027,730,135,11.9,61.2,,
YC22:1030,1245,205,12.8,61.3,,
YC22:1391,2230,415,17,57.4,,
YC22:1431,1100,155,12.9,60.4,,
YC22:1412,1930,495,22.3,56.8,,
YC22:1411,1435,265,16.6,57.8,,
YC22:1417,460,110,13.3,55.5,,
YC22:1404,1035,430,25.8,49.5,,
YC22:1406,1105,205,17.7,55.1,,
YC22:1427,1045,315,18.2,60,,
YC22:1409,750,130,14,57.1,,
YC22:1430,715,210,14.4,55.8,,
YC22:1402,1135,165,14.4,62.8,,
YC22:1426,1090,305,17.3,58.6,,
YC22:1413,1025,220,21.2,53.4,,
YC22:1429,835,200,18.7,56,,
YC22:1410,1225,200,19.9,59.3,,
YC22:1428,965,175,15.4,60.8,,
YC22:1424,855,210,16.3,60.7,,
YC22:1419,1170,175,16.5,58,,
YC22:1422,365,100,-,-,,
YC22:1330,885,225,12.1,64.2,,
YC22:1320,1090,170,12.6,59.5,,
YC22:1315,1255,220,11.5,60.6,,
YC22:1336,2020,400,16.7,58,,
YC22:1329,1195,170,12.5,61.3,,
YC22:1332,1455,215,11.5,55.6,,
YC22:1321,1255,260,21.4,50.2,,
YC22:1316,850,200,16.7,59.8,,
YC22:1313,1860,470,22.8,56.7,,
YC22:1331,1600,235,17.6,58.2,,
YC22:1317,1275,205,16.6,61.7,,
YC22:1308,565,220,17.6,57.6,,
YC22:1333,1575,220,11.4,60.4,,
YC22:1379,855,175,15.5,58.5,,
