Year,Location,Plot_Length,Alley_Length,Row_Spacing,Rows_Per_Plot,Seed_Per_Plot,Experiment,Genotype,Rep,Block,Plot,Sample_ID,Date_Planted,Date_Harvested,Stand_Count,Root_Lodging,Stalk_Lodging,Grain_Moisture,Test_Weight,Plot_Weight,Yield,Decade
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xW153R,1,4,101001,ERA22:101001,5/11/22,11/22/22,48,,,12.5,62.3,13.25,,1960
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xA619,1,5,101002,ERA22:101002,5/11/22,11/22/22,47,,,15.8,60.4,15.66,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,B73 xMo17,1,7,101003,ERA22:101003,5/11/22,11/22/22,44,,,16.4,59.9,17.81,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xW64A,1,6,101004,ERA22:101004,5/11/22,11/22/22,39,,,14.1,61.4,13.49,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,DKC49-72RIB xDKC49-72RIB,1,14,101005,ERA22:101005,5/11/22,11/22/22,42,,,13,61.9,14.93,,2020
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,W64A xW117Ht,1,1,101006,ERA22:101006,5/11/22,11/22/22,53,,,11.3,62.5,10.21,,1950
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A635 xW64A,1,3,101007,ERA22:101007,5/11/22,11/22/22,47,,,13,62,15.11,,1960
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH146Ht xLH82,1,12,101008,ERA22:101008,5/11/22,11/22/22,47,,,12.3,62.4,17.98,,1990
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,PHG29 xPHG47,1,8,101009,ERA22:101009,5/11/22,11/22/22,43,,,12.1,62.3,16.17,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH145 xLH38,1,9,101010,ERA22:101010,5/11/22,11/22/22,48,,,13.2,61.8,15.86,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH74 xLH51,1,10,101011,ERA22:101011,5/11/22,11/22/22,46,,,15.5,60.4,20.05,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH227 xLH295,1,13,101012,ERA22:101012,5/11/22,11/22/22,30,,,13.9,61.2,14.63,,2000
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,Commercial Hybrid 2 xCommercial Hybrid 2,1,15,101013,ERA22:101013,5/11/22,11/22/22,42,,,13.1,61.8,18.02,,
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,W64A xOh43,1,2,101014,ERA22:101014,5/11/22,11/22/22,49,,,15.1,60.5,16.65,,1950
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,PHRE1 xPHP02,1,11,101015,ERA22:101015,5/11/22,11/22/22,35,,,12.2,62.2,14.49,,1990
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xW64A,2,6,102001,ERA22:102001,5/11/22,11/22/22,40,,,14.1,61.2,15.82,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH146Ht xLH82,2,12,102002,ERA22:102002,5/11/22,11/22/22,43,,,11.5,62.6,12.68,,1990
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,PHG29 xPHG47,2,8,102003,ERA22:102003,5/11/22,11/22/22,48,,,11.9,62.3,15.9,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,Commercial Hybrid 2 xCommercial Hybrid 2,2,15,102004,ERA22:102004,5/11/22,11/22/22,42,,,12.5,62.1,19.72,,
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH227 xLH295,2,13,102005,ERA22:102005,5/11/22,11/22/22,38,,,12.6,62,16.68,,2000
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xA619,2,5,102006,ERA22:102006,5/11/22,11/22/22,48,,,15.4,60.2,15.46,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,DKC49-72RIB xDKC49-72RIB,2,14,102007,ERA22:102007,5/11/22,11/22/22,47,,,12,62.3,15.74,,2020
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,B73 xMo17,2,7,102008,ERA22:102008,5/11/22,11/22/22,43,,,13.3,61.1,12.59,,1970
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH145 xLH38,2,9,102009,ERA22:102009,5/11/22,11/22/22,43,,,11.7,62.2,12.01,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,W64A xW117Ht,2,1,102010,ERA22:102010,5/11/22,11/22/22,47,,,9.18,63.4,10.01,,1950
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,LH74 xLH51,2,10,102011,ERA22:102011,5/11/22,11/22/22,45,,,14.4,60.6,15.11,,1980
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A632 xW153R,2,4,102012,ERA22:102012,5/11/22,11/22/22,50,,,,,,,1960
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,PHRE1 xPHP02,2,11,102013,ERA22:102013,5/11/22,11/22/22,30,,,11.2,62.6,11.82,,1990
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,A635 xW64A,2,3,102014,ERA22:102014,5/11/22,11/22/22,45,,,11.5,62.5,11.48,,1960
2022,Saint Paul,19.5,48,30,2,27,Era Hybrids,W64A xOh43,2,2,102015,ERA22:102015,5/11/22,11/22/22,36,,,14.1,60.8,12.75,,1950
