Year,Field,Range,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2022,X9,51,YCH22:2573,YCH22:2574,YCH22:2575,YCH22:2576,YCH22:2577,YCH22:2578,YCH22:2579,YCH22:2580,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17,B73 x Mo17
2022,X9,50,YCH22:2572,YCH22:2571,YCH22:2570,YCH22:2569,YCH22:2568,YCH22:2567,YCH22:2566,YCH22:2565,YCH22:2564,YCH22:2563,YCH22:2562,YCH22:2561,YCH22:2560,YCH22:2559,YCH22:2558,YCH22:2557,YCH22:2556,YCH22:2555,YCH22:2554,YCH22:2553,YCH22:2552,YCH22:2551,YCH22:2550,YCH22:2549,YCH22:2548,YCH22:2547,YCH22:2546,YCH22:2545,YCH22:2544,YCH22:2543,YCH22:2542,YCH22:2541,YCH22:2540,YCH22:2539,YCH22:2538,YCH22:2537,YCH22:2536,YCH22:2535,YCH22:2534,YCH22:2533,YCH22:2532,YCH22:2531,YCH22:2530,YCH22:2529,YCH22:2528,YCH22:2527,YCH22:2526,YCH22:2525
2022,X9,49,YCH22:2477,YCH22:2478,YCH22:2479,YCH22:2480,YCH22:2481,YCH22:2482,YCH22:2483,YCH22:2484,YCH22:2485,YCH22:2486,YCH22:2487,YCH22:2488,YCH22:2489,YCH22:2490,YCH22:2491,YCH22:2492,YCH22:2493,YCH22:2494,YCH22:2495,YCH22:2496,YCH22:2497,YCH22:2498,YCH22:2499,YCH22:2500,YCH22:2501,YCH22:2502,YCH22:2503,YCH22:2504,YCH22:2505,YCH22:2506,YCH22:2507,YCH22:2508,YCH22:2509,YCH22:2510,YCH22:2511,YCH22:2512,YCH22:2513,YCH22:2514,YCH22:2515,YCH22:2516,YCH22:2517,YCH22:2518,YCH22:2519,YCH22:2520,YCH22:2521,YCH22:2522,YCH22:2523,YCH22:2524
2022,X9,48,YCH22:2476,YCH22:2475,YCH22:2474,YCH22:2473,YCH22:2472,YCH22:2471,YCH22:2470,YCH22:2469,YCH22:2468,YCH22:2467,YCH22:2466,YCH22:2465,YCH22:2464,YCH22:2463,YCH22:2462,YCH22:2461,YCH22:2460,YCH22:2459,YCH22:2458,YCH22:2457,YCH22:2456,YCH22:2455,YCH22:2454,YCH22:2453,YCH22:2452,YCH22:2451,YCH22:2450,YCH22:2449,YCH22:2448,YCH22:2447,YCH22:2446,YCH22:2445,YCH22:2444,YCH22:2443,YCH22:2442,YCH22:2441,YCH22:2440,YCH22:2439,YCH22:2438,YCH22:2437,YCH22:2436,YCH22:2435,YCH22:2434,YCH22:2433,YCH22:2432,YCH22:2431,YCH22:2430,YCH22:2429
2022,X9,47,YCH22:2381,YCH22:2382,YCH22:2383,YCH22:2384,YCH22:2385,YCH22:2386,YCH22:2387,YCH22:2388,YCH22:2389,YCH22:2390,YCH22:2391,YCH22:2392,YCH22:2393,YCH22:2394,YCH22:2395,YCH22:2396,YCH22:2397,YCH22:2398,YCH22:2399,YCH22:2400,YCH22:2401,YCH22:2402,YCH22:2403,YCH22:2404,YCH22:2405,YCH22:2406,YCH22:2407,YCH22:2408,YCH22:2409,YCH22:2410,YCH22:2411,YCH22:2412,YCH22:2413,YCH22:2414,YCH22:2415,YCH22:2416,YCH22:2417,YCH22:2418,YCH22:2419,YCH22:2420,YCH22:2421,YCH22:2422,YCH22:2423,YCH22:2424,YCH22:2425,YCH22:2426,YCH22:2427,YCH22:2428
2022,X9,46,YCH22:2380,YCH22:2379,YCH22:2378,YCH22:2377,YCH22:2376,YCH22:2375,YCH22:2374,YCH22:2373,YCH22:2372,YCH22:2371,YCH22:2370,YCH22:2369,YCH22:2368,YCH22:2367,YCH22:2366,YCH22:2365,YCH22:2364,YCH22:2363,YCH22:2362,YCH22:2361,YCH22:2360,YCH22:2359,YCH22:2358,YCH22:2357,YCH22:2356,YCH22:2355,YCH22:2354,YCH22:2353,YCH22:2352,YCH22:2351,YCH22:2350,YCH22:2349,YCH22:2348,YCH22:2347,YCH22:2346,YCH22:2345,YCH22:2344,YCH22:2343,YCH22:2342,YCH22:2341,YCH22:2340,YCH22:2339,YCH22:2338,YCH22:2337,YCH22:2336,YCH22:2335,YCH22:2334,YCH22:2333
2022,X9,45,YCH22:2285,YCH22:2286,YCH22:2287,YCH22:2288,YCH22:2289,YCH22:2290,YCH22:2291,YCH22:2292,YCH22:2293,YCH22:2294,YCH22:2295,YCH22:2296,YCH22:2297,YCH22:2298,YCH22:2299,YCH22:2300,YCH22:2301,YCH22:2302,YCH22:2303,YCH22:2304,YCH22:2305,YCH22:2306,YCH22:2307,YCH22:2308,YCH22:2309,YCH22:2310,YCH22:2311,YCH22:2312,YCH22:2313,YCH22:2314,YCH22:2315,YCH22:2316,YCH22:2317,YCH22:2318,YCH22:2319,YCH22:2320,YCH22:2321,YCH22:2322,YCH22:2323,YCH22:2324,YCH22:2325,YCH22:2326,YCH22:2327,YCH22:2328,YCH22:2329,YCH22:2330,YCH22:2331,YCH22:2332
2022,X9,44,YCH22:2284,YCH22:2283,YCH22:2282,YCH22:2281,YCH22:2280,YCH22:2279,YCH22:2278,YCH22:2277,YCH22:2276,YCH22:2275,YCH22:2274,YCH22:2273,YCH22:2272,YCH22:2271,YCH22:2270,YCH22:2269,YCH22:2268,YCH22:2267,YCH22:2266,YCH22:2265,YCH22:2264,YCH22:2263,YCH22:2262,YCH22:2261,YCH22:2260,YCH22:2259,YCH22:2258,YCH22:2257,YCH22:2256,YCH22:2255,YCH22:2254,YCH22:2253,YCH22:2252,YCH22:2251,YCH22:2250,YCH22:2249,YCH22:2248,YCH22:2247,YCH22:2246,YCH22:2245,YCH22:2244,YCH22:2243,YCH22:2242,YCH22:2241,YCH22:2240,YCH22:2239,YCH22:2238,YCH22:2237
2022,X9,43,YCH22:2189,YCH22:2190,YCH22:2191,YCH22:2192,YCH22:2193,YCH22:2194,YCH22:2195,YCH22:2196,YCH22:2197,YCH22:2198,YCH22:2199,YCH22:2200,YCH22:2201,YCH22:2202,YCH22:2203,YCH22:2204,YCH22:2205,YCH22:2206,YCH22:2207,YCH22:2208,YCH22:2209,YCH22:2210,YCH22:2211,YCH22:2212,YCH22:2213,YCH22:2214,YCH22:2215,YCH22:2216,YCH22:2217,YCH22:2218,YCH22:2219,YCH22:2220,YCH22:2221,YCH22:2222,YCH22:2223,YCH22:2224,YCH22:2225,YCH22:2226,YCH22:2227,YCH22:2228,YCH22:2229,YCH22:2230,YCH22:2231,YCH22:2232,YCH22:2233,YCH22:2234,YCH22:2235,YCH22:2236
2022,X9,42,YCH22:2188,YCH22:2187,YCH22:2186,YCH22:2185,YCH22:2184,YCH22:2183,YCH22:2182,YCH22:2181,YCH22:2180,YCH22:2179,YCH22:2178,YCH22:2177,YCH22:2176,YCH22:2175,YCH22:2174,YCH22:2173,YCH22:2172,YCH22:2171,YCH22:2170,YCH22:2169,YCH22:2168,YCH22:2167,YCH22:2166,YCH22:2165,YCH22:2164,YCH22:2163,YCH22:2162,YCH22:2161,YCH22:2160,YCH22:2159,YCH22:2158,YCH22:2157,YCH22:2156,YCH22:2155,YCH22:2154,YCH22:2153,YCH22:2152,YCH22:2151,YCH22:2150,YCH22:2149,YCH22:2148,YCH22:2147,YCH22:2146,YCH22:2145,YCH22:2144,YCH22:2143,YCH22:2142,YCH22:2141
